PROJ #,DATE ACTIVE,PROJECT NAME,"STRATA 
PLAN","# OF 
UNITS",PM,"ONSITE CONTACT
",STRATA TYPE,"INSURANCE
COMPANY","INSURANCE
EXPIRY (ANNIV)",DATE OF LAST FIRE INSPECTION,"DATE OF LAST
APPRAISAL",APPRAISAL CO. & CONTRACT YEAR,"LIEN
FEE",LIEN INVOICING CODES,"MOVE IN 
FEE","MOVE OUT 
FEE",RSERVICE,FISCAL YEAR END,AGM DEADLINE,LAST AGM HELD / WAIVER SIGNED
"5389
(5164-10)",,"PINTURA APARTMENTS
1530 West 8th Avenue
Vancouver, BC
V6J 5M6",BCS1362,49,"CF
","Site Contact:
Caretaker: John Paul Ojeda
Email: johnpaul@linis.ca",APARTMENT SECTION,Acera,25-Oct-25,,"Wednesday, October 25, 2017","NORMAC
Year 3 of 3
",$200.00 ,,,,,,29-Feb,
"5390
(5164-10)",,"PINTURA TOWNHOMES
1532, 1536, 1538, 1556, 1558, 1566, 1568, 1576, 1578, and 1580 W. 8th Ave.
Vancouver, BC
V6J 4R8
",BCS1362,10,CF,"Site Contact:
Caretaker: John Paul Ojeda
Email: johnpaul@linis.ca",TOWNHOME SECTION,Acera,25-Oct-25,,"Wednesday, October 25, 2017","NORMAC
Year 3 of 3
",$200.00 ,,,,,,29-Feb,
5392,1-Jan-17,"MIDTOWN (JOINT)
2477 Carolina Street
583, 585, 595 & 599 E. Broadway
Vancouver, BC V5T 1X4
",EPS3643,45 Units,CF,"Building Manager: John Paul (JP) Ojeda
306-914-8289 (do not give out)
johnpaul@linis.ca (do not give out)",JOINT,Acera,31-Jan-26,,"Friday, January 31, 2025","NORMAC
Year 3 of 3",$200.00 ,,$200.00 ,$200.00 ,,,29-Feb,
5393,1-Jan-17,"MIDTOWN (RESIDENTIAL)
2477 Carolina Street
Vancouver, BC V5T 1X4",EPS3643,41 Units,CF,,RESIDENTIAL,Acera,31-Jan-26,,"Friday, January 31, 2025","NORMAC
Year 3 of 3",$200.00 ,,$200.00 ,$200.00 ,,,29-Feb,
5394,1-Jan-17,"MIDTOWN (COMMERCIAL)
583, 585, 595 & 599 E. Broadway
Vancouver, BC V5T 1X4
",EPS3643,4 Units,CF,,COMMERCIAL,Acera,31-Jan-26,,"Friday, January 31, 2025","NORMAC
Year 3 of 3",$200.00 ,PRO/DEVEL/XXXX,$200.00 ,$200.00 ,,,29-Feb,
"5395
5395-1 (East, 3107 Windsor Gate)
5395-2 (West, 1135 Windsor Mews)",1-Jan-17,"BRADLEY HOUSE
3107 Windsor Gate V3B 0L1
1135 Windsor Mews V3B 0L2
Coquitlam, BC",EPS2593,115 Units,CZ,"Marisela
604-240-6635 (do not give out)
bradleyhouse@rservice.ca (do not give out)",NORMAL,BFL Canada,31-Mar-26,,"Monday, March 31, 2025","NORMAC
Year 2 of 3",$200.00 ,,,,,,29-Feb,
"5397
5397-W (876 Keith Rd)
5397-E (870 Keith Rd)",1-Mar-17,"EVELYN CLIFFSIDE FOUR (WEST)
876 Keith Road
West Vancouver, BC

EVELYN CLIFFSIDE FIVE (EAST)
870 Keith Road
West Vancouver, BC",EPS3984,23 Units,KD,"Steve 
604-722-1964
Carefree604@yahoo.ca 

Howard Liang
778-863-6108
lianghoward1989@gmail.com",NORMAL,BFL Canada,1-May-26,,"Thursday, May 1, 2025","NORMAC
Year 3 of 3",$200.00 ,,$300.00 ,,,,,
5398,1-Mar-17,"CITTI
238 West Broadway
Vancouver, BC V5Y 0L2",EPS3524,60 Units,HB,"Bobby Mudaliar
778-389-7892
bob@alliancecleans.com 
Working hours: 8:00AM-4:00PM, Monday-Friday",NORMAL,BFL Canada,15-Feb-26,,"Thursday, February 15, 2024","NORMAC
Year 2 of 3",$200.00 ,,,,,,,
5399,1-Mar-17,"PORTOFINO (JOINT)
1383 Howe Street
Vancouver, BC
V6Z 2R5",LMS1554,,"KN
(AW is Admin)","David Mangala
604-688-7678
gm.vancouver@executivehotels.net",JOINT,JT,31-Dec-25,,"Sunday, December 31, 2023","NORMAC
Year 3 of 3",$200.00 ,,,,,,,
5419,,"SIEMANS ESTATES LTD.
34313 Forrest Terrace
Abbotsford, BC
V2S 7L2","RENTAL
LMS1388",153 Units,CG,"Cathy Groenveld 
Telephone #: 604-853-0549 
Email: CGroenve@ranchogroup.com ",,BFL Canada,18-Jun-26,23-Jun-15,"Wednesday, June 18, 2025","NORMAC
Year 3 of 3",,,,,,,,
5425,,"WADDINGTON DEVELOPMENTS LTD.
32063 Mt. Waddington Ave.
Abbotsford, BC",RENTAL,,CG,,,"Economical Insurance Group
Owner's own insurance",12-Dec-23,,"WITH THE STRATA, WE ONLY MANAGE THE RM UNITS",,,,,,,,,
5428,,"SHORELINE (Harbour Heights)
103 ? 150 Shoreline Circle
Port Moody, BC
V3H 5B3",RENTAL,26 Units,AA,,,Done through Strata,"31-Dec-22 
Owner's own 
insurance",,Done through Strata,,,,,,,,,
5429,,"FRASER APARTMENTS
6462 Fraser Street
Vancouver, BC
V5W 3A4",RENTAL,"4 Studios
12 - 1 BR
16 Units",KH,"Ann Cawthra
204-6462 Fraser Street
Vancouver, BC V5W 3A4
Phone: 604-321-2921 (do not give out)
778-836-2921 (do not give out)
cawthra1@telus.net (do not give out)",,"Owner's Own insurance
Westland Insurance",10-Mar-23,18-Nov-15,"Monday, March 10, 2025","NORMAC
Year 2 of 3",,,,,,,,
5432,,"WILLOUGHBY TOWN CENTRE
Parcel 1 (Buildings A, B, C & D)
20678 Willoughby Town Centre Drive
Langley, BC
V2Y 0L7

Parcel 2
20689 Willoughby Town Centre Drive
Langley, BC
V2Y 0P3

Parcel 4
20728 Willoughby Town Centre Drive
Langley, BC
V2Y 0L7

Parcel 7
20780 Willoughby Town Centre Drive
Langley, BC
V2Y 0L7


",RENTAL,,TL,"Pete Duchesne
604-802-7150 (do not give out)
Email: pduchesne@allbrightservices.ca
",,No strata insurance,No strata insurance,"May 13, 2015
May 13, 2015
May 15, 2015
May 25, 2015
May 15, 2015
","Tuesday, July 15, 2025","NORMAC
Year 1 of 3",,,,,No,,,
5441,,"SFU Rentals
9191 University Crescent
Burnaby, BC
V5A 0A1",,11,KH,,,"Lloyd's Canada

Owner's own insurance","24-Feb-23 
",,,,,,,,,,,
5443,1-Jul-17,THE SPOT RENTAL HOUSING ,,8,AA,,,"BFL Canada
Owner's own insurance","5-Jun-22 
",,,,,,,,,,,
5447,1-Sep-18,"MELVILLE MANOR
1855 West 8th Avenue
Vancouver, B.C. 
V6J 1V9

*2940 Main Street - Million Energy Homes",,38,"KH
(Juliana is Admin)","Glen
604-360-2841 (do not give out)
gcalvert69@yahoo.ca (do not give out)
",,BFL Canada,1-Aug-25,,"Friday, August 1, 2025","NORMAC
Year 2 of 3",,,,,,,,
5452,1-Sep-20,"QUALICO VANCOUVER
17720 65A Avenue
Surrey, B.C. V3S 5N4



",,,CL,"Building Manager 
 Javier Venegas
jvenegas@mintclean.ca

Daniel Mota 
dmota@mintclean.ca",,Owner's own insurance,,,"Thursday, May 1, 2025","NORMAC
Year 2 of 3",$200.00 ,,,,,,,
5453,19-May-21,"THE LEX
1249 Granville Street
Vancouver, B.C.
V6Z 1M5
","RENTAL
BCS336","45 Residential Units
2 Commercial Units  ",VS,,,Hub ,25-Jun-23,,"Wednesday, June 15, 2022","NORMAC
Year 2 of 3",,,,,,,,
5455,9-Jan-24,"2175 WEST 7TH (LAWRENCE MANOR)
2175 West 7th Avenue
Vancouver, BC
V6K 1X9",N/A,35 Rental Unit Building ,KH,,Rental Building ,BFL Canada,"9-Jan-26
Rental
",,,,,,,,,,,
5456,13-Mar-24,"1960 WEST 7TH (CASA GRANDE)
1960 West 7th Avenue
Vancouver, BC
V6J 1T1",N/A,35 Rental Unit Building ,KH,,Rental Building ,BFL Canada,"9-Jan-26
Rental
",,,,,,,,,,,
5457,3-Jul-24,"WEST 41ST
2028, 2032, 2034, 2036
West 41st Avenue
Vancouver, BC",N/A,,KH,,Rental Building ,Marsh Insurance,"15-Mar-25
Rental",,,,,,,,,,,
5458,9-Sep-24,"354 EAST 10TH AVENUE
Vancouver, BC",N/A,,KH,,"This is a Commercial 
Rental Building",Marsh Insurance,"15-Mar-25
Rental",,,,,,,,,,,
5502,1-Apr-17,"SAGE
5782 Berton Avenue
Vancouver, BC V6S 0C1",BCS4265,115 Units,CF,"Building Manager: John He
Email: sageubc@outlook.com
Phone number 604-788-0056",NORMAL,Acera,27-Oct-25,,"Sunday, October 27, 2024","NORMAC
Year 1 of 3",$200.00 ,,$250.00 ,$250.00 ,,,,
5504,1-Feb-17,PARK AVENUE CLUB,,,GR,,," None
This is the Amenities Club for Park Avenue (5386) and Park Avenue West (5521)"," None
This is the Amenities Club for Park Avenue (5386) and Park Avenue West (5521)",,,,,,,,,,,
5505,1-May-17,"CLUB ARIA
2nd Floor - 400 Capilano Road
Port Moody, BC V3H 0E6",,,FY,"Charlene
778-355-6895
info@ariaclub.ca",,BFL Canada,31-Oct-23,,,,,,,,,,,
"5506
5506-TH",1-Jul-17,"MET 2
6538 Nelson Avenue
6518, 6522, 6528, 6532, 6536, 6548, 6556, 6558 Nelson Avenue
Burnaby, BC V5H 0G5",EPS4147,312 Units,FY,"Concierge
Tel: 604-433-0137
Fax: 604-434-2584
met2concierge@rservice.ca
(8am-midnight)

Building Manager
Bldg Super: Steven Lee
604-970-2797
steven.lee@allbrightservices.ca",NORMAL,Acera,5-Jun-25,,"Thursday, June 5, 2025","NORMAC
Year 3 of 3",$200.00 ,,,,,,,
5508,1-May-17,"MELVILLE COMMERCIAL SECTION
550, 560, 570, 580 Bute Street
Vancouver BC V6E 3M1",BCS2321,4 Units,CKS,,ACCOUNTING,BFL Canada,1-Apr-26,,,,$200.00 ,PRO/DEVEL/XXXX,,,,,,
5509,1-May-17,"MODERN COMMERCIAL SECTION
1009 Harwood Street
Vancouver, BC V6E 0C2",EPS2409,3 Units,CKS,,ACCOUNTING,BFL Canada,1-Nov-25,,,,$200.00 ,PRO/DEVEL/XXXX,,,,,,
5510,1-Aug-17,MET AMENITIES,,,BK,,CLUB,"None

This is the Amenities for The Met (5353) and The Met 2 (5506)","
None

This is the Amenities for The Met (5353) and The Met 2 (5506)
",,,,,,,,,,,
5512,1-Jul-17,"THE SPOT
2888 Cambie Street
Vancouver, BC V5Z 0H3",EPS4248,122 Units,YM," Concierge
Varun Kuppili
604-363-9158
thespot@rservice.ca

Building Manager
Artur Filho
thespotbm@rservice.ca
778-789-7542",AIR SPACE PARCEL,BFL Canada,5-Jun-25,,"Thursday, June 5, 2025","NORMAC
Year 3 of 3",$200.00 ,,$200.00 ,$0.00 ,Yes,,,
5513,1-Jun-17,"FIRST AVENUE MEWS
2435 West 1st Avenue
Vancouver, BC V6K 1H2",BCS4360,5 Units,HB,,ACCOUNTING,BFL Canada,9-Feb-26,,"Friday, February 9, 2024","NORMAC
Year 2 of 3",$200.00 ,PRO/DEVEL/XXXX,,,,,,
5514,1-Jun-17,"GALILEO COMMERCIAL SECTION
822 Homer Street
Vancouver, BC V6B 6M3",LMS3970,21 Units,CKS,,ACCOUNTING,Acera,1-Dec-25,,,,$200.00 ,PRO/DEVEL/XXXX,,,,,,
5516,1-Aug-17,"THE DAWSON (JOINT)
4468 Dawson Street
Burnaby, BC V5C 0J9",EPS4242,67 Units,SC,"Dawson Building Manager
Stanley Chen
thedawson@rservice.ca
604-762-7688 (do not give out)",JOINT,Acera,19-Jul-25,,"Saturday, July 19, 2025","NORMAC
Year 3 of 3",$200.00 ,,$100.00 ,$150.00 ,,,,
5517,1-Aug-17,"THE DAWSON (RESIDENTIAL SECTION)
4468 Dawson Street
Burnaby, BC V5C 0J9",EPS4242,62 Res,SC,"Dawson Building Manager
Stanley Chen
thedawson@rservice.ca
604-762-7688 (do not give out)",RESIDENTIAL,Acera,19-Jul-25,,"Saturday, July 19, 2025","NORMAC
Year 3 of 3",$200.00 ,,$100.00 ,$150.00 ,,,,
5518,1-Aug-17,"THE DAWSON (COMMERCIAL SECTION)
4472, 4476, 4480 Dawson Street
2225, 2229 Willingdon Avenue
Burnaby, BC V5C 0J9",EPS4242,5 Comm,CKS,,ACCOUNTING,Acera,19-Jul-25,,"Saturday, July 19, 2025","NORMAC
Year 3 of 3",$200.00 ,PRO/DEVEL/XXXX,,,,,,
5519,1-Jul-17,THE SPOT REMAINDER,,5 Comm,YM,"Building Manager
Peter Shu
604-363-9158
thespot@rservice.ca",,Travelers Canada,"June 21, 2022  
5 Years Building Envelope Warranty 

June 21, 2027
10 Years Structural Defects Warranty",,,,$200.00 ,PRO/DEVEL/XXXX,,,,,,
5520,1-Sep-17,"RIVA 3
7008 River Parkway
Richmond, BC V6X 0R1",EPS3584,166 Units,"CKS/KN  
(KaWing)
(AW is Admin)","Concierge 
Email Address: riva3concierge@rservice.ca
Phone #: 604-207-0632
Cell #: 604-831-7983 (do not give out)

Building Manager:
Russell Jung 
604-928-4223
russell.jung@allbrightservices.ca

",NORMAL,HUB,28-Jul-25,,"Monday, July 28, 2025","NORMAC
Year 3 of 3",$200.00 ,,"  A security guard must be hired for all moves in and out of the building.  The person moving into/out of the building must pay:

i) 	a $200.00 non-refundable fee prior to a move-in or move-out. 

ii) 	a $150.00 non-refundable fee to the security guard","A security guard must be hired for all moves in and out of the building.  The person moving into/out of the building must pay:

i) 	a $200.00 non-refundable fee prior to a move-in or move-out. 

ii) 	a $150.00 non-refundable fee to the security guard",,,,
5521,1-Oct-17,"PARK AVENUE WEST
13696 100th Avenue
Surrey, BC V3T 0L5

Townhomes:
TH1-7
13720 100th Avenue 
Surrey, BC V3T 0L4",EPS4403,462 Units,GR,"Concierge:
Phone: 604-930-2712
Cell: 604-831-2523
parkavenuewestconcierge@rservice.ca

Building Manager: 
Habil Otieno
604-240-4063
HOtieno@rservice.ca",NORMAL,HUB,7-Sep-25,,"Friday, August 8, 2025","NORMAC
Year 3 of 3",$200.00 ,,"$125 administrative fee

$150 surcharge for Sunday moves",$125 administrative fee,,,,
5522,1-Sep-17,"CROWN
520 Como Lake Avenue
Coquitlam, BC V3J 0E8",EPS4454,181 Units,YM,"Building Manager
Jatin Arora
778-833-0750
thecrown@rservice.ca",AIR SPACE PARCEL,BFL Canada,11-Aug-25,,"Monday, August 11, 2025","NORMAC
Year 3 of 3",,,$200.00 ,$0.00 ,Yes,,,
"5523
5523-A
5523-B",1-Sep-17,"CENTREVIEW
Tower A: 112 East 13th Street
Tower B: 125 East 14th Street
North Vancouver, BC ",EPS3752,"Phase 1 - 127 Units
Phase 2 - 194 Units",DC,"Building Manager:
Edward Agyemang 
604-619-7024
centreviewbm@rservice.ca

Concierge
604-619-5450
Centreviewconcierge@rservice.ca ",AIR SPACE PARCEL,HUB,15-Oct-25,,"Tuesday, October 15, 2024","NORMAC
Year 2 of 3",$200.00 ,,,,,,,
"5525
5525-1a Alderbridge
5525-1c Cedarbridge
5525-2A",1-Sep-17,"TEMPO (JOINT)
Phase 1:
7688 Alderbridge Way V6X 0P7
5619 Cedarbridge Way V6X 0P8
Richmond, BC

Phase 2:
7708 Alderbridge Way
7811 Lansdowne Road
Richmond, BC ",EPS4199,"Phase 1 - 129 Res, 3 Com
Phase 2 - 108 Res",CZ,"Concierge
Email: TempoConcierge@rservice.ca
Cell: 778-828-5660 (don't give out)

Office: 604-244-0330

On-Call Caretaker
Po Leung
Cell: 604-828-5660 (don't give out)
",JOINT,BFL Canda,31-Aug-25,,"Sunday, August 31, 2025","NORMAC
Year 3 of 3",$200.00 ,,$200.00 ,,Yes,,,
5526,1-Sep-17,"TEMPO (RESIDENTIAL SECTION)
Phase 1:
7688 Alderbridge Way V6X 0P7
5619 Cedarbridge Way V6X 0P8
Richmond, BC

Phase 2:
7708 Alderbridge Way
7811 Lansdowne Road
Richmond, BC ",EPS4199,"Phase 1 - 129 Res
Phase 2 - 108 Res",CZ,"Concierge
Ken/Edwin
Email: TempoConcierge@rservice.ca
Cell: 778-828-5660 (don't give out)

Office: 604-244-0330

On-Call Caretaker
Po Leung
Cell: 604-828-5660 (don't give out)",RESIDENTIAL SECTION,BFL Canda,31-Aug-25,,"Sunday, August 31, 2025","NORMAC
Year 3 of 3",$200.00 ,,,,,,,
5527,1-Sep-17,"TEMPO (COMMERCIAL SECTION)
7688 Alderbridge Way V6X 0P7
7708 Alderbridge Way V6X 2A2
Richmond, BC ",EPS4199,3 Comm Units,CKS,"Hector Aguilar
778-879-1522
haguilar@allbrightservices.ca",ACCOUNTING,BFL Canada,31-Aug-25,,,,$200.00 ,PRO/DEVEL/XXXX,,,,,,
5528,1-Dec-17,"PARK ESTATES
8988 Patterson Road
Richmond, BC
V6X 0R2
",EPS4250,246 Units,CF,"Building Manager: John Ding
Phone: 604-789-6041 (do not give out)
Email: john.ding@allbrightservices.ca

Park Estates Concierge
604-370-1707

DIAMOND CLUB 
diamondclub@rservice.ca
604-370-1707",NORMAL,Acera,1-Nov-25,,"Friday, November 1, 2024","NORMAC
Year 2 of 3",$200.00 ,,">48h in advance: 
$150.00
24h-48h in advance: $200.00
<24H in advance:
$300.00
<24h in advance: 
$300.00",,,,,
5529,1-Jan-18,"CENTRAL ESTATES
3233 Ketcheson Road
Richmond, B.C.
V6X 0R3
",EPS4329,134 Units,JL,"Central Estates Building Manager
Thomas Tam 
Thomas.Tam@allbrightservices.ca
Cell (DO NOT GIVE OUT): 604-721-4338 OR 604-328-2516

Central Estates Concierge - Aqiu
Email: Centralestatesconcierge@rservice.ca
604-833-0629",NORMAL,BFL Canada,14-Dec-25,,"Saturday, December 14, 2024","NORMAC
Year 2 of 3",$200.00 ,,,,,,,
5531,1-Dec-17,"ALTUS
4485 Skyline Drive
Burnaby, BC
V5C 0J2
",EPS3583,280,SR,"Concierge: 
604-559-7066 (Dan)
604-786-6315 (do not give out)
cell: 604-828-4321 (do not give out)
AltusConcierge@rservice.ca",AIR SPACE PARCEL,Acera,20-Nov-25,17-Mar-25,"Wednesday, November 20, 2024","NORMAC
Year 2 of 3",$200.00 ,,$150.00 ,$150.00 ,Yes,1/31/2025,,3-Apr-25
5533,1-Jan-18,"TOWER GREEN AT WEST
159 West 2nd Avenue
Vancouver, BC
V5Y 0L8",EPS4169,177,GR,"Building Manager: Sam Mansour
604-842-7361
towergreen@rservice.ca

",AIR SPACE PARCEL,JT,1-Dec-25,,"Sunday, December 1, 2024","NORMAC
Year 2 of 3",$200.00 ,,,,,,,
5534,1-Dec-17,"LOWER LONSDALE SYNERGY I
137-149 St. Patrick?s Avenue
North Vancouver, B.C. 
V7L 0E7
",EPS4078,7,"MC
(Admin Pool is Admin) ",,FINANCIAL CONTRACT,BFL Canada,25-Oct-25,,"Friday, October 25, 2024","NORMAC
Year 2 of 3",$200.00 ,PRO/ACCTING/XXXX,,,,,,
5535,1-Dec-17,"ABBOTT PLACE - JOINT ONLY
233 Abbott Street
Vancouver, BC
V6B 2K7",LMS2412,"46 Res
4 Comm",SA,"Building Staff
 Kyu H. Kim
  buildingmanager5@kellyboy.ca",SECTIONS,BFL Canada,1-Dec-25,,"Sunday, December 1, 2024","NORMAC
Year 2 of 3",$200.00 ,,,,,,,
5536,1-Feb-18,"BINNING TOWER
3355 Binning Road
Vancouver, BC
V6S 0J1",EPS3494,170 Res,CS,"David Cai
Binning Building Manager
Bus: (778) 985-9141
E-mail: Binningbldgmgr@gmail.com
On site 8am ? 4pm, Monday to Friday (Weekends Off) ",,Acera,31-Jul-25,,"Thursday, July 31, 2025","NORMAC
Year 1 of 3",$200.00 ,,$400.00 ,$300.00 ,,,,
5537,,"DIAMOND CLUB
8988 Patterson Road
Richmond, BC
V6X 0R2

",,,TL,"DIAMOND CLUB 
diamondclub@ranchogroup.com
604-370-1707

John
604-789-6041 (do not give out)
john.ding@allbrightservices.ca (do not give out)",CLUB,Acera,1-Nov-25,,,,$200.00 ,,,,,,,
5541,1-Feb-18,"MONARCH
4427 Cambie Street
518 West 28th Avenue
Vancouver, BC
V5Z 2Y8",EPS4575,59,SY,"Building Caretaker                                                                           
John Paul Ojeda
236-333-7046 (Ok to give out)",NORMAL,Acera,5-Jan-26,,"Sunday, January 5, 2025","NORMAC
Year 2 of 3",$200.00 ,,,,,,,
5542,1-Feb-18,"JAMES WALK
168 East 35th Avenue
Vancouver, BC
V5W 1A6",EPS3680,48,KD,"Building Manager: 
Terence Melo (Kellyboy) 
Tel: 604.738-2340 (do not give out)
Cell: 604.396-0515 (do not give out)
Email: buildingmanager2@kellyboy.ca
Mon-Fri 8am-4pm ",NORMAL,Acera,1-Apr-26,,"Tuesday, April 1, 2025","NORMAC
Year 2 of 3",$200.00 ,,,,,,,
5544,1-Apr-18,"V6A
221 Union Street
Vancouver, BC
V6A 0B4",BCS3944,140,SC,"Concierge 
778-558-1181 
v6aconcierge@gmail.com
",NORMAL,"HUB International
(4350 Still Creek Dr. branch)",1-Oct-25,,"Tuesday, October 1, 2024","NORMAC
Year 3 of 3",$200.00 ,,$200.00 ,,,,,
5545,7-Feb-18,"CONCORD GARDENS PARK ESTATES AFFORDABLE HOUSING
8988 Patterson Road
Richmond, BC
V6X 0R2",EPS4725,17,"MR/CKS
(YF is Admin)",,ACCOUNTING,BFL Canada,7-Feb-26,,"Wednesday, February 7, 2024","NORMAC
Year 3 of 3",$200.00 ,PRO/DEVEL/XXXX,,,,,,
"5547
5547E
5547W",1-Jun-18,"NORTHWEST 

EAST TOWER (E)
8189 Cambie Street
Vancouver, B.C. V6P 0G6

WEST TOWER (W)
8238 Lord Street
Vanocuver, B.C. V6P 0G7",EPS4185,348,"HB/FY
(EJ is Admin)","Concierge:
northwestconcierge@rservice.ca

Building Manager:
Enka Dombon
604-838-2158
Northwest@rservice.ca 
",AIR SPACE PARCEL,Acera,31-Jul-25,,"Thursday, July 31, 2025","NORMAC
Year 2 of 3",$200.00 ,,$200.00 ,,,,,
"5550
5550-C (Commercial Units)",1-Oct-18,"THE GRAND AT LANSDOWNE - JOINT
5599 Cooney Road
Richmond, B.C. 
V6X 0N8 ",EPS4801,"119 - Residential 
5 - Commercial
Total - 124 ",RY,"Building Caretaker:  Terry Lau
Tel:  778-893-7778
Email: thegrandmgr@gmail.com  ",SECTIONED,BFL Canada,26-Sep-25,,"Thursday, September 26, 2024","NORMAC
Year 1 of 3",$200.00 ,,$200 ($100 DD),$0 ($100 DD),,,,
5551,1-Oct-18,"THE GRAND AT LANSDOWNE - RESIDENTIAL SECTION
5599 Cooney Road
Richmond, B.C. 
V6X 0N8 ",EPS4801,119 Residential Units,RY,"Building Caretaker: Terry Lau
Tel: 778-893-7778
Email: thegrandmgr@gmail.com",SECTIONED,BFL Canada,26-Sep-25,,"Thursday, September 26, 2024","NORMAC
Year 1 of 3",$200.00 ,,$200 ($100 DD),$0 ($100 DD),,,,
5552,1-Jul-18,"NEW HORIZON ESTATES
3190 Tahsis Avenue
Coquitlam, B.C. 
V3B 5C2",NW1668,58 Residential Units,KC,n/a,NORMAL,Hub,31-Dec-25,,"Tuesday, December 31, 2024","NORMAC
Year 3 of 3",$200.00 ,,$50.00 ,,No,1/31/2025,,27-Mar-25
5553,1-Aug-18,"EASTON
617 Smith Avenue
Coquitlam, BC
V3J 0C3",EPS1326,72 Residential Units,PR,"Building Supervisor: Eugene
Phone:  778-939-4468 
Email:Easton@rservice.ca
",NORMAL,Hub,25-Oct-25,,"Friday, October 25, 2024","NORMAC
Year 3 of 3",$200.00 ,,"$200 move in (covers cost of move out)
$100 furnished move in",None (included with move in fee),,,,
"5555
",1-Sep-18,"THE CHARLESON
499 Pacific Street
Vancouver, BC
V6B 0N4",EPS4774,83 Residential Units,DC,"Srdja
604-341-2385 
charlesonconcierge@rservice.ca",AIR SPACE PARCEL,BFL Canada,1-Aug-25,,"Friday, August 1, 2025","NORMAC
Year 2 of 3",$200.00 ,,$250.00 ,$250.00 ,,,,
"5556
5556A
5556B
5556C",1-Jul-18,"AVANTI
8333 Sweet Avenue (Tower A)
3331 Brown Road (Tower B)
3333 Brown Road (Tower C)
Richmond, B.C. ",EPS3982,493 Residential Units,MC/TL,"Building Manager: Sophia He 
Telephone: 604-809-3165 
Monday to Friday (8 a.m. to 4 p.m.) 

Building Manager: Mike Ning/Chiu Wan/Cynthia Liu Telephone: 604-809-3124 
Monday to Sunday (10 a.m. to 6 p.m.) 

Email: avanti@rservice.ca",NORMAL,Hub,31-Mar-26,,"Monday, March 31, 2025","NORMAC
Year 2 of 3",$200.00 ,,,,,,,
5557,1-Aug-18,"INGASTOWN
150 East Cordova Street
Vancouver, B.C. 
V6A 1K9",EPS3663,"61 Residential Units
2 Commercial Units
63 Joint Units Total",BL,,SECTIONED,Acera,27-Oct-25,15-Nov-24,"Sunday, October 27, 2024","NORMAC
Year 2 of 3",$200.00 ,,,,No,31-Jan,,27-Mar-25
5558,1-Nov-18,"UNION
518 Whiting Way
Coquitlam, B.C.
V3J 0H7
",EPS5100,102 Residential Units,SA,"Building Staff: 
Shehbaaz
604-836-7178
union@rservice.ca",,BFL Canada,31-Aug-25,,"Sunday, August 31, 2025","NORMAC
Year 2 of 3",$200.00 ,,$200.00 ,None,,,,
5560,1-Oct-18,"ALTITUDE
9060 University Crescent (V5A 0B7)
9080 University Crescent (V5A 0E1)
Burnaby, B.C.
",EPS2546,210 Units,DC,"Building Caretaker
Danny
604-338-2873
altitudecaretaker@gmail.com
7:30am-3:30pm Monday-Friday",NORMAL,BFL Canada,1-Mar-26,,"Saturday, March 1, 2025","NORMAC
Year 2 of 3",$200.00 ,,$200.00 ,n/a,,,,
"5563
5563-1 (7660 Minoru)
5563-2 (7680 Minoru)
5563-3 (7671 Abercrombie)
5563-4 (7651 Abercrombie)",1-Oct-18,"BENTLEY WYND
7660 & 7680 Minoru Blvd 
7651 & 7671 Abercrombie Dr. 
Richmond, B.C. 
V5Y 1Z5 

",NW2361,76 Residential ,BL,"Building Manager
Barrie McLachlin
604-585-7243
barriemcl@gmail.com
",NORMAL,"Acera
",1-Apr-26,25-Apr-24,"Tuesday, April 1, 2025","NORMAC
Year 3 of 3",$200.00 ,,$300.00 ,None,No,31-Mar,,29-May-25
5564,1-Aug-18,"INGASTOWN - Residential 
150 East Cordova Street
Vancouver, B.C. 
V6A 1K9",EPS3663,61 Residential Units,BL,"James
778-846-1914 (do not give out)
buildingmanager3@kellyboy.ca (do not give out)",SECTIONED,Acera,27-Oct-25,,"Thursday, October 27, 2022","NORMAC
Year 3 of 3",$200.00 ,,"Unfurnished: $150.00 
Furnished: $75 ","Move out fee: N/A
Damage Deposit: $100.00",,,,
5565,1-Aug-18,"INGASTOWN - Commercial 
150 East Cordova Street
Vancouver, B.C. 
V6A 1K9",EPS3663,2 Commercial Units,BL,,SECTIONED,Acera,27-Oct-25,,"Thursday, October 27, 2022","NORMAC
Year 3 of 3",$200.00 ,PRO/DEVEL/XXXX,,,,,,
5566,1-Oct-18,"THE RESIDENCES AT LYNN VALLEY (EF)
Building F -  1295 Conifer Street
 North Vancouver, B.C. V7J 0B4

Building E -  2738 Library Lane
 North Vancouver, B.C. V7J 0B3

2761, 2763, 2765, 2767, 2769 Mountain Hwy
North Vancouver, B.C. V7J 0B4
",EPS4092,115 Residential Units,SR,"Building Caretaker: Gabriel Segovia
Email: Residence.Residence.lynnvalley@rservice.ca
Phone: 604-830-2541
On site Monday ? Friday 8:00am ? 4:00pm",NORMAL,Acera,13-Sep-25,15-May-25,"Friday, September 13, 2024","NORMAC
Year 1 of 3",$200.00 ,,$250.00 ,,Yes,31-Dec,,24-Feb-25
